Country,unique_trials
Argentina,2
Armenia,2
Australia,156
Austria,16
Bahrain,1
Bangladesh,13
Belarus,9
Belgium,55
Brazil,63
Canada,335
Chile,6
China,4833
Colombia,6
Croatia,5
Cyprus,3
Czechia,13
Democratic Republic of the Congo,1
Denmark,75
Egypt,150
El Salvador,1
Ethiopia,1
Finland,17
France,306
Georgia,4
Germany,180
Greece,19
Guadeloupe,1
Guam,1
Hong Kong,59
Hungary,3
Iceland,1
India,60
Indonesia,13
Iran,12
Iraq,3
Ireland,14
Israel,50
Italy,236
Japan,129
Jordan,5
Kazakhstan,1
Kenya,6
Kuwait,1
Lebanon,2
Lesotho,1
Lithuania,4
Luxembourg,1
Malaysia,6
Martinique,1
Mexico,23
Moldova,3
Mongolia,2
Mozambique,2
Netherlands,185
New Zealand,26
Nigeria,4
Norway,47
Pakistan,37
Peru,1
Poland,48
Portugal,15
Puerto Rico,55
Reunion,2
Romania,4
Russia,82
Rwanda,1
Saudi Arabia,8
Serbia,5
Singapore,46
Slovakia,3
Slovenia,14
South Africa,7
South Korea,303
Spain,518
Sweden,98
Switzerland,114
Syria,2
Taiwan,243
Thailand,25
Turkey (Türkiye),180
Uganda,2
Ukraine,34
United Arab Emirates,1
United Kingdom,826
United States,3690
Uruguay,3
Uzbekistan,2
Venezuela,1
Vietnam,53
Yemen,1
